"","(Intercept)","amt","arid","clay","pcoldq","proportion_cover","pwarmq","th","ts","class","correlation","REML","df","logLik","AICc","delta","weight"
"AEM gen",1.0664563485608,-0.167992054849399,-0.0697361593050013,0.0366512592215805,0.0696624477829036,0.0253606088569265,0.119237385189231,0.0294548424824335,-0.0384727414396024,1,2,2,12,-248.868177930092,522.20064157447,0,0.667074166803862
"AEM gen",1.06760792096019,-0.175339900920846,-0.0635195826382328,0.0378241224292616,0.0636412911349619,0.0265982094453115,0.136280903691079,0.0283057134071432,-0.0254858796343573,1,4,2,12,-250.254425347374,524.973136409033,2.77249483456308,0.166776370640188
"AEM gen",1.06039887489596,-0.174513762693425,-0.0804259466571004,0.0352854812657028,0.0803998916320892,0.0220127679161585,0.0889090391418807,0.0293904735386968,-0.0677661239111333,1,5,2,12,-250.265881690146,524.996049094577,2.79540752010644,0.164876626211653
"AEM gen",1.06271005975482,-0.193096703644848,-0.0552461138389065,0.044821786031498,0.0550447139792926,0.0229758648615506,0.157894161337432,0.0268845678974724,-0.0163321249662014,1,3,2,12,-255.129831412199,534.723948538684,12.5233069642136,0.00127283634429729
"AEM gen",1.10145311454577,-0.174038595995143,-0.0712471240462424,0.0289030475515679,0.159390572914094,0.00359074382600644,0.422377050431218,0.0221217687159276,0.212771013476413,2,1,1,10,-402.437523696593,825.201456888735,303.000815314264,1.06753733082299e-66
"AEM spp",1.96554897814208,-0.277747601326807,-0.149122273042773,-0.021027116222399,0.00591626071884426,0.373955857939401,0.107628498478827,0.0737790428271737,-0.320976489814039,1,2,2,12,-283.650781499282,591.789062998564,0,0.535857986366057
"AEM spp",1.97027793586719,-0.277735036585926,-0.151700366281423,-0.0225771062251362,0.00780368899446496,0.374882331785041,0.10807270593788,0.0732203611993872,-0.318752933178221,1,4,2,12,-284.067898339752,592.623296679505,0.834233680940997,0.35310036431136
"AEM spp",1.95711822078307,-0.286766674362595,-0.14813050878229,-0.0219071769080311,0.0103242079637601,0.381692268590614,0.121867163007464,0.0721620564389402,-0.321395060181724,1,3,2,12,-285.478599316514,595.444698633029,3.65563563446494,0.0861466742390635
"AEM spp",1.95879375425719,-0.259702264036264,-0.135302853503857,-0.0203852523237513,-0.00285195949461962,0.378860458231044,0.0819927220186499,0.0759476059882278,-0.327995708021138,1,5,2,12,-286.719984695207,597.927469390413,6.13840639184946,0.0248949750835197
"AEM spp",1.84771024829227,-0.26398746362225,-0.176151577546421,-0.0298969536845703,0.103814086478267,0.524985584970394,0.198880674161093,0.0718909959690374,-0.278690936005285,2,1,1,10,-354.127346959199,728.597373046123,136.808310047559,1.05075784630741e-30
"All Andropogoneae",1.45516400003706,0.236434693130734,0.0422728349534311,-0.0714404969082058,-0.121986363150241,0.310182404575764,0.0573247975190521,0.0411380251947087,-0.0717253246977421,1,5,2,12,-225.053788716544,474.785838302652,0,0.608811548309752
"All Andropogoneae",1.4553329928948,0.267180624812065,0.0485791617516313,-0.0722705619492795,-0.133495513242234,0.320681478538195,0.0691717086363623,0.0436217504360203,-0.073833021308856,1,2,2,12,-225.53427523855,475.746811346666,0.960973044013826,0.376539235637916
"All Andropogoneae",1.49864562213351,0.392307893076018,0.0794791480676505,-0.0743333695775463,-0.186647042193872,0.364805092751894,0.118303655282187,0.0526570516352046,-0.0801655872686844,1,4,2,12,-228.818278641583,482.314818152731,7.52897985007871,0.0141119061701195
"All Andropogoneae",1.49744299450967,0.427872545047037,0.0859745853063326,-0.0713872847889235,-0.204607186110554,0.391229009708007,0.142414816195012,0.0540423609335833,-0.0808992313793186,1,3,2,12,-232.086477780944,488.851216431452,14.0653781288001,0.00053730988221252
"All Andropogoneae",1.30172044053253,0.45148981323467,-0.127313406799347,0.00128052497171701,-0.115131596047068,0.648933456224969,0.519525638096145,0.0378368428245819,0.00109597921403747,2,1,1,10,-318.534700359318,657.545591194827,182.759752892175,1.25518223602616e-40
"All C3",1.56228700121005,-0.708573250836744,-0.233097157465194,0.0143833836576466,0.0581830528388963,0.198134577806479,0.190464047629369,0.0621234859317832,-0.367818825389241,1,3,2,12,-185.498502912274,395.685747546403,0,0.654363705407869
"All C3",1.56062674936913,-0.676461623280819,-0.221235955755211,0.0097469511469335,0.0472367502104709,0.203668353335187,0.178771854320522,0.0657769252218819,-0.36834092482317,1,4,2,12,-186.618615361578,397.925972445011,2.24022489860795,0.213481648196728
"All C3",1.56105551718618,-0.680947563080935,-0.221044870307905,0.00969768103737617,0.0491174724139747,0.201651351711209,0.176596332403829,0.0663775325098985,-0.367431167503745,1,2,2,12,-187.155128212686,398.998998147227,3.31325060082418,0.124840637127495
"All C3",1.53596356299785,-0.601898835187835,-0.19690501757282,0.00284027096942309,0.0372720354385536,0.187490802711238,0.145616172792196,0.0746002414177165,-0.34478854301182,1,5,2,12,-189.992374646756,404.673491015366,8.98774346896312,0.00731400926790737
"All C3",1.51312169693674,-0.627733011084744,-0.333120468014343,0.0231878467199276,0.220291595307435,0.381913927002601,0.269208860683787,0.0540551836163901,-0.3265088483314,2,1,1,10,-261.204803364172,542.89312321186,147.207375665457,7.08180117392116e-33
"All C4",2.89158351719387,0.490144103678648,0.0550712303406156,0.00986706479499156,-0.210492472949334,0.138904403186126,0.0788896677128519,0.0609447051936566,0.0718687693895971,1,2,2,12,-379.115532550269,782.681281550755,0,0.846331581934601
"All C4",2.83079868791374,0.399638380533223,0.0736236945464263,0.00333232363307704,-0.224159828044402,0.122642907810588,0.0268379419821294,0.0508651003086191,0.0380091441571443,1,5,2,12,-381.108421994887,786.667060439991,3.98577888923546,0.115355859282967
"All C4",2.91270304453874,0.506062798509788,0.0381904105032463,0.0183032573715498,-0.206517038008177,0.142486568341108,0.124664123195373,0.0632878143646508,0.0973432025475556,1,4,2,12,-382.21078850041,788.871793451036,6.19051190028131,0.0383078667588209
"All C4",2.91682041846249,0.50265205259752,0.0677797935827621,0.0161072281933315,-0.229302686326276,0.14875792478127,0.11760785789506,0.0536820087760594,0.102746602254601,1,3,2,12,-391.218335089913,806.886886630042,24.2056050792867,4.69202361107658e-06
"All C4",2.88764545679693,0.403872645330569,-0.20606634181712,0.096126228997783,-0.106580609577198,0.238464363144008,0.584483893979776,0.0459774164215843,0.248994816504661,2,1,1,10,-543.821621683817,1107.95979013022,325.278508579469,1.96883748119908e-71
"All Chloridoideae",1.95870632929202,0.155650996333623,-0.37778770638312,-0.00891911602390285,0.014687189931917,0.302954124808376,0.0683551830035441,0.056102923446797,0.0333020694833787,1,5,2,12,-293.920361821389,612.323695779001,0,0.544936906441457
"All Chloridoideae",1.98523964220274,0.20082631831866,-0.36954261418867,-0.00864317583009394,-0.00386889478433265,0.313468607500465,0.0889484707432985,0.0607018289348485,0.0240516276754284,1,2,2,12,-294.112635969864,612.708244075951,0.384548296949561,0.449616893097706
"All Chloridoideae",2.02625816595342,0.303285102601802,-0.346220974662088,0.000723394159012414,-0.0498612907200842,0.350257541374588,0.1679225669492,0.0692250174719692,0.0302094567980865,1,4,2,12,-298.529611045128,621.542194226479,9.21849844747794,0.0054271861555014
"All Chloridoideae",2.01559896373118,0.298515959639311,-0.339849892875519,0.00430960150636987,-0.0489370513517924,0.376661242477041,0.174451837594261,0.0647954506890028,0.015678085713349,1,3,2,12,-304.183595512072,632.850163160368,20.5264673813663,1.90143053354706e-05
"All Chloridoideae",2.04093590595386,0.210791618880823,-0.340843232820814,0.0892544388691584,-0.122511879700079,0.388677733792074,0.500038369710031,0.0519314061219545,0.243627530615376,2,1,1,10,-422.365232555357,865.069971283553,252.746275504552,7.13164694886274e-56
"All Micrairoideae",0.546417213234228,0.79982895459743,-0.125712665076192,0.00768156181800447,0.298937536048218,0.434288376869809,0.0313778052614449,0.120479781299793,-0.209429140091464,1,2,2,12,-79.2653327376331,184.583297054214,0,0.356599036985807
"All Micrairoideae",0.561540179147184,0.786422250846595,-0.128164183491189,0.00893435688530444,0.300353452920358,0.426907706173693,0.0265678327831101,0.120333452199151,-0.221123395677167,1,4,2,12,-79.3490626669406,184.750756912829,0.167459858614961,0.327956860075278
"All Micrairoideae",0.561310905811218,0.788116115438219,-0.152744736911224,-0.00290282914338087,0.297895813528524,0.421046417195799,0.0692092238903505,0.11443288770213,-0.191336907341439,1,3,2,12,-79.4292424416741,184.911116462296,0.32781940808195,0.302687917913777
"All Micrairoideae",0.456194513570956,0.85200290958091,-0.0284675273010149,0.00973453261409031,0.264924081897759,0.486236645330446,-0.0448164076678838,0.143035528766274,-0.198521771063018,1,5,2,12,-82.595930744514,191.244493067975,6.6611960137617,0.0127561562473152
"All Micrairoideae",0.61326812345474,0.608296050859626,-0.162981068096019,-0.0656214757838404,0.140261586065334,0.425904741019326,0.126373940866134,0.150044647381084,-0.173029241305231,2,1,1,10,-97.9098803443537,217.248332117279,32.6650350630651,2.87778222955732e-08
"All Paniceae",1.79176193403077,0.497295442354728,-0.202501218945911,-0.00302567739432191,-0.0253555436687692,0.24301068724043,0.203403005228651,0.0773020914561866,-0.0102418139890502,1,2,2,12,-263.647616991036,551.993220559254,0,0.690050459321331
"All Paniceae",1.81077708645861,0.456654932154556,-0.192934942676036,0.0116387820468345,-0.0411669549326647,0.258458758899016,0.234596581362997,0.0723996627509374,0.0136787863534383,1,4,2,12,-264.771010195895,554.240006968972,2.24678640971774,0.224386838397264
"All Paniceae",1.77539267917722,0.514635913533666,-0.192904014296007,-0.00971599923784349,-0.0189027135886326,0.229200593959728,0.179274342340684,0.0801371396647649,-0.0177592858415184,1,5,2,12,-265.739242576532,556.176471730245,4.18325117099107,0.0852117332770743
"All Paniceae",1.83886314919833,0.387504654468874,-0.170740107146366,0.0330967868060543,-0.0760586288332041,0.277850466634057,0.285446800415751,0.0633852012127739,0.0565888245831521,1,3,2,12,-271.231439081572,567.160864740325,15.1676441810712,0.00035096900433027
"All Paniceae",1.85505849735776,0.253600173230861,-0.356075261692957,0.0812920147557691,-0.0725052155757092,0.298472516148517,0.545584573791237,0.0534551405000499,0.0806835495809533,2,1,1,10,-359.955886352696,740.401750433676,188.408529874422,8.44283720565323e-42
"All species",3.25364696064043,0.0704486219647993,-0.0809444714569231,0.0107958313798424,-0.053352935875467,0.268679074924415,0.0701665899292964,0.0990539243207241,-0.153993472982523,1,2,2,12,-311.028051303896,646.459203382985,0,0.845098751182843
"All species",3.22645132634463,0.0861451876938522,-0.0637766189439477,0.0147104850466206,-0.0736860484255972,0.29715818690752,0.0753185435084681,0.096177831766673,-0.167447092935262,1,5,2,12,-312.962971321922,650.329043419037,3.86984003605176,0.122062531635103
"All species",3.24834650376966,0.0886818225723268,-0.0759789167215919,0.0147793224524229,-0.0559244583917467,0.277742477502658,0.0891193548332914,0.0988953951034681,-0.152354118736472,1,4,2,12,-314.27604873015,652.955198235494,6.49599485250883,0.0328337207712426
"All species",3.24263826072339,0.0993038873754154,-0.0573052663973448,0.0218953400990497,-0.0718751493904453,0.287169977670078,0.110263050558522,0.100219813704584,-0.150136994424771,1,3,2,12,-323.066540251919,670.536181279032,24.0769778960466,4.99641081063895e-06
"All species",3.16857992897218,0.183223240994712,-0.116335918904373,0.0829777599991105,0.0767977827123703,0.39039397969302,0.32302079634257,0.129351176482308,-0.0323960710948785,2,1,1,10,-520.37693490066,1061.03737495596,414.578171572974,7.98732478108979e-91
"Ancient gen",0.122524654223891,-0.181417607598472,-0.0451033196525732,-0.103606646761841,0.0159701344574506,0.0527406805443209,0.112373873365901,0.00565062047798115,-0.042124992924398,1,3,2,12,-24.6446594891872,75.0927871864669,0,0.342931766065072
"Ancient gen",0.128264133276226,-0.181591484550897,-0.0498872226670993,-0.105077303795612,0.0165521922144026,0.0481832644911757,0.116285072373983,0.00720621986842558,-0.0386208004837396,1,2,2,12,-24.7388277722551,75.2811237526026,0.188336566135717,0.31211234763081
"Ancient gen",0.131583671642673,-0.182617104487228,-0.0498456472705276,-0.106527611374737,0.0161035118297597,0.0457604900706807,0.117488694461581,0.00723690739280802,-0.0374579058753922,1,4,2,12,-25.0082493332575,75.8199668746074,0.727179688140552,0.238398024949965
"Ancient gen",0.149015247896924,-0.172928209782812,-0.0937250419691141,-0.116725607766274,0.0457709947727354,0.0490672251850415,0.176850167799377,0.0111280529920368,-0.0145673471753744,1,5,2,12,-25.977853710038,77.7591756281684,2.66638844170154,0.0904084081670655
"Ancient gen",0.182785238850859,-0.1799499322907,-0.103530338690389,-0.149475514945437,0.0586423893306166,0.0150476229867984,0.215160281887833,0.00620506005888883,0.00516175522674904,2,1,1,10,-29.9734674685726,81.204077794288,6.11129060782108,0.0161494531870872
"Ancient spp",0.224266409004588,0.0147449227091123,0.0220516206160203,-0.0429578948114398,0.00569823975510047,0.258025281350534,-0.180691921325432,0.0260670027603429,-0.394656540233402,1,3,2,12,-83.7290690615502,193.261606331193,0,0.298026797775618
"Ancient spp",0.211499704855218,0.00621064811238208,0.0493750714909124,-0.0320866829512936,-0.0120700000813715,0.250875899374905,-0.224423577806306,0.0228454560035677,-0.408165516066558,1,5,2,12,-83.8191817361889,193.44183168047,0.180225349277407,0.27234529639693
"Ancient spp",0.239320936204921,0.0131299737035316,0.0175148268487794,-0.035865766721306,0.014099127877645,0.246058183562399,-0.201091550499405,0.0270665660502445,-0.402513895415084,1,2,2,12,-83.9896865878904,193.782841383873,0.521235052680481,0.229652174973055
"Ancient spp",0.236390468538321,0.00624861435226202,0.0275967297514201,-0.0393739290417531,0.00459548905833271,0.249147378676768,-0.201601833312916,0.0258398599953535,-0.40031554430666,1,4,2,12,-84.1280564561572,194.059581120407,0.797974789214095,0.199975730818364
"Ancient spp",0.275547638749508,0.0730674811460958,-0.2189871210037,-0.123503666341955,0.216900852790166,0.344460267461539,0.132579058597432,0.0138181658984523,-0.325943082487564,2,1,1,10,-108.838237068716,238.933616994576,45.6720106633828,3.60333144937366e-11
"C3 AEM gen",0.594121569117409,-0.157891713386941,-0.139412365589868,0.019177455900817,0.131969237824301,0.262766102103405,0.0830556713988112,0.0218776943319979,-0.315818281755094,1,5,2,12,-112.105604109019,248.909194795219,0,0.594959071128519
"C3 AEM gen",0.619181557630725,-0.192456230223185,-0.14061281456144,0.025552741333312,0.12738034627785,0.248053144815572,0.110681472856394,0.0191626359482312,-0.277070160097161,1,4,2,12,-112.858129725999,250.414246029179,1.5050512339601,0.28032986475554
"C3 AEM gen",0.638508386732746,-0.168813469261714,-0.133680746657036,0.017175421271027,0.127517608004319,0.243922925393892,0.0957596235862319,0.0241873810775637,-0.258625742009355,1,2,2,12,-113.941682942578,252.581352462337,3.67215766711797,0.0948611061833196
"C3 AEM gen",0.61937793707219,-0.227155624894847,-0.13723153586655,0.0363078776387632,0.12392423890237,0.239213047989675,0.132691627290739,0.0141191963292355,-0.262722051875762,1,3,2,12,-115.097913293634,254.893813164449,5.98461836923025,0.0298499579326215
"C3 AEM gen",0.835727968269517,-0.161955330645637,-0.106099130797257,0.0318862681614584,0.211822268202257,0.0874700106499083,0.357860843623673,0.0431368837771473,0.0706116053023592,2,1,1,10,-254.447740107544,529.385457943373,280.476263148154,7.41037857489141e-62
"C3 AEM spp",1.45533942341591,-0.739110499883315,-0.260615732367774,0.00426858243142659,0.0596071599817072,0.207969380487641,0.199964755824381,0.0477545498594436,-0.290975050862548,1,3,2,12,-197.948064599982,420.603612193162,0,0.678399692759382
"C3 AEM spp",1.4507117244034,-0.711690913420828,-0.243696738267495,0.00110380567523337,0.046232386676396,0.213019833844211,0.182901237139196,0.050998187631382,-0.295250629987019,1,4,2,12,-199.358766014032,423.425015021262,2.82140282809951,0.165510596099461
"C3 AEM spp",1.45153403588637,-0.719105660352962,-0.249160947917598,0.00189202090831605,0.0524897612711189,0.212374496890235,0.185999118763157,0.0509387660292835,-0.293077071061132,1,2,2,12,-199.417962198013,423.543407389223,2.93979519606046,0.155997352126483
"C3 AEM spp",1.39254182831974,-0.578482165801633,-0.195180976112799,-0.00360082500384785,0.00994079551068075,0.222379719609697,0.145066070517972,0.0650467768863724,-0.279323757174662,1,5,2,12,-206.849873194441,438.407229382079,17.8036171889173,9.23590146741145e-05
"C3 AEM spp",1.41814528702602,-0.662281174222965,-0.375732648550215,-0.00342303895659732,0.210697973614636,0.377271075777654,0.300191549972821,0.0393038546592699,-0.25765324688422,2,1,1,10,-258.134120552179,536.764855099844,116.161242906682,4.04941455808261e-26
"C3 Recent gen",0.124576667790861,-0.0858833182404155,-0.114049778021001,-0.00363529815624509,0.0324082229820239,0.0711646165117632,0.19109130840672,0.0121476862261887,-0.08187032875181,1,5,2,12,-11.503201743115,48.9323294121559,0,0.25641584121942
"C3 Recent gen",0.1252287383994,-0.0877614452936021,-0.111572891058037,-0.00394583712513439,0.0302623994380398,0.0709290555773932,0.191289054218633,0.0116605427196092,-0.0800682983121903,1,3,2,12,-11.5234004787615,48.9727268834489,0.0403974712930335,0.251288522428387
"C3 Recent gen",0.128073579674586,-0.0917953871284435,-0.104584642201995,-0.00428022798676696,0.0251507890995717,0.0719672083558525,0.190813196354625,0.0104230642232286,-0.0738372899073425,1,2,2,12,-11.5748622848335,49.075650495593,0.143321083437115,0.238683871896608
"C3 Recent gen",0.141175421567338,-0.0961492581810438,-0.0946800700533896,-0.00430010561313066,0.0172935999719866,0.0677688829687065,0.187597322183838,0.0100833753288516,-0.0641091645929921,1,4,2,12,-11.6751758676338,49.2762776611934,0.343948249037567,0.21590238448305
"C3 Recent gen",0.0409764729948676,-0.0660347942246106,-0.115320032219358,0.00204381883935897,0.0580217662860781,0.155486704758197,0.185496062016598,0.00364857030531274,-0.101576426970764,2,1,1,10,-15.7123246359814,52.766112686597,3.83378327444113,0.0377093799725351
"C3 Recent spp",0.308581047393955,-0.480039003505466,-0.109659795247149,0.0711297492682107,0.0156837541779788,0.144175836556449,0.123951353782832,0.0344942495384559,-0.465324854290962,1,3,2,12,-79.3740868611063,184.674099648139,0,0.327147410141764
"C3 Recent spp",0.298526490330842,-0.482943807536387,-0.112787359019926,0.0725955635936118,0.0162059912248214,0.146908139773831,0.121320733573242,0.033403699709241,-0.479097857814252,1,5,2,12,-79.4255437779121,184.77701348175,0.102913833611524,0.310739191576889
"C3 Recent spp",0.38442925920793,-0.459693724640811,-0.0900746741550168,0.0681716333267357,0.00710578482739084,0.104699713793431,0.118644695219467,0.0411095853947129,-0.418141551316788,1,4,2,12,-79.8954740894901,185.716874104906,1.04277445676757,0.194226234428055
"C3 Recent spp",0.376817796206718,-0.45390675180094,-0.0927270601146885,0.0691378313192978,0.010794404873501,0.106773075417079,0.111703324537133,0.0422717756948104,-0.430392383710501,1,2,2,12,-80.0412056184156,186.008337162757,1.33423751461851,0.167887163438883
"C3 Recent spp",0.100106876624924,-0.466138811613136,-0.16342911590305,0.10976128489569,0.0669834372780154,0.266905184762892,0.0367947876883842,0.048897227591541,-0.638044594321128,2,1,1,10,-102.153143060319,225.647749535272,40.9736498871333,4.1440831597029e-10
"Early endemic gen",0.434555280389519,0.0540666357694133,0.0472230328868191,-0.0210459642575399,-0.052457903843577,0.0124370908551094,0.0344232351856658,0.00841217381378405,0.0404208699185327,1,5,2,12,43.6114187029029,-62.2598744428428,0,0.5262235112587
"Early endemic gen",0.424280025733873,0.0444641096140772,0.055847241040154,-0.0209881318224456,-0.0526553707716278,0.0173250584290227,0.0110904893241331,0.00659794129868114,0.0268296166316175,1,2,2,12,42.6672936255246,-60.3716242880862,1.88825015475663,0.204711356822083
"Early endemic gen",0.459591968383725,0.0495522116270172,0.0699829714318518,-0.0252759739809052,-0.0457955623960935,0.0205220861798847,-0.0478925747178774,0.0053110757828104,0.0301251939959925,1,4,2,12,42.6332517125443,-60.3035404621257,1.95633398071709,0.197859871109248
"Early endemic gen",0.410371347310057,0.0847062372158558,0.019004229070456,-0.0208261538671917,-0.0461085692708556,0.031036824850093,0.134242316635516,0.0112160620838656,0.0537953728289031,1,3,2,12,41.6112593575423,-58.2595557521216,4.0003186907212,0.0712052608099682
"Early endemic gen",0.281832645667761,0.24244191155426,-0.0128215351271081,0.0161878762249692,0.00251943388477083,0.256393064658254,0.206787516827241,-0.00107747102333218,-0.071435341284511,2,1,1,10,-18.1805249081768,57.0358964421205,119.295770884963,6.55273708677475e-27
